,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,is_success
6142,0.00143,['The Juliana Theory'],0.5870000000000001,197400,0.759,0,4BejqreqjhlN3FcR2irbKg,0.0,5,0.0637,-5.5710000000000015,1,We're At The Top Of The World,40,2000-01-01,0.0346,128.4,0.866,2000,0
6143,0.823,['Panchiko'],0.455,261850,0.7959999999999999,0,3mkO4ZYDzNMbuJQtzFHz9A,0.528,5,0.102,-7.29,0,D>E>A>T>H>M>E>T>A>L,42,2000-12-05,0.0444,86.999,0.258,2000,0
6144,0.426,['Elliott Smith'],0.34600000000000003,157733,0.175,0,3nkdVXnH4xC6f3YZS0C8pC,0.000263,10,0.154,-17.192,1,Everything Reminds Me Of Her,43,2000-01-01,0.0427,168.045,0.35700000000000004,2000,0
6145,0.22,['Brenda And The Tabulations'],0.503,199800,0.62,0,0EocUlMbfRJlO1ieFjgZGB,2.29e-06,0,0.0778,-7.265,0,Right on the Tip of My Tongue,38,2000-01-01,0.0364,156.243,0.736,2000,0
6146,0.0518,['Mindless Self Indulgence'],0.639,124360,0.8440000000000001,0,3ZRKkl06xmosJOH5zbkc5Y,0.0899,6,0.113,-8.721,1,Golden I,41,2000-02-11,0.0568,167.865,0.8740000000000001,2000,0
6147,0.0023899999999999998,['Coldplay'],0.429,266773,0.6609999999999999,0,3e0wYnFxkqinmtXebYPMSt,0.00013000000000000002,11,0.23399999999999999,-7.227,1,Yellow,51,2000-06-26,0.0281,173.365,0.285,2000,0
6148,0.0153,"['OutKast', 'Killer Mike', 'J-Sweet']",0.565,259693,0.922,1,6C872iuQnICFQy5Z5hIIJX,0.0,1,0.267,-5.561,0,Snappin' & Trappin' (with Killer Mike & J-Sweet),42,2000-10-31,0.368,193.91,0.4320000000000001,2000,0
6149,0.701,['José Alfredo Jimenez'],0.5870000000000001,144467,0.40299999999999997,0,2bAjPbUKFb5waXyAoX7hix,1.62e-05,0,0.256,-7.141,1,Si Nos Dejan,42,2000-08-04,0.0268,108.64200000000001,0.613,2000,0
6150,0.0256,['Jeff Kashiwa'],0.723,261000,0.733,0,5nRaaCkfZUrsg3MRYOXTFU,0.261,10,0.336,-6.638,0,"Hyde Park (The 'Ah, Oooh' Song)",40,2000-08-22,0.0282,104.00399999999999,0.711,2000,0
6151,0.932,['Cat Power'],0.5920000000000001,185160,0.0965,0,6NTNGqmF2lCfu7l3CPuMLe,0.000557,9,0.107,-16.739,0,(I Can't Get No) Satisfaction,47,2000-03-21,0.031,100.421,0.268,2000,0
6152,0.7979999999999999,['Lara & Reyes'],0.679,319800,0.7879999999999999,0,2u2cS7pCuDbkJ5h6gcM46i,0.802,5,0.136,-7.1560000000000015,1,Amor De Lejos,42,2000-01-01,0.0298,109.53200000000001,0.7290000000000001,2000,0
6153,0.0284,['Collective Soul'],0.6679999999999999,217493,0.647,0,0h00uh7oGC6WYX1H8Ur7zf,0.000349,6,0.134,-4.9460000000000015,1,Why Pt. 2,43,2000-10-10,0.0813,121.624,0.747,2000,0
6154,0.0177,['Living Legends'],0.826,241400,0.655,1,7h92c8JNP4bY5r8m42hKqn,0.0,0,0.0826,-6.28,1,Night Prowler (feat. Slug),43,2001-10-10,0.289,166.03599999999997,0.767,2001,0
6155,0.0291,"['Ja Rule', ""Lil' Mo"", 'Vita']",0.573,282827,0.851,1,0mu59f9C3CwjFdtmf0j80v,0.0,6,0.0937,-4.829,0,Put It On Me,44,2001-01-01,0.336,185.778,0.715,2001,0
6156,0.0473,['Los Acosta'],0.604,222800,0.66,0,6o1XbbvxdZC1XYfVBtXdYO,0.0039700000000000004,7,0.375,-8.368,1,Tan Bella Y Tramposa,46,2001-01-01,0.0366,185.028,0.764,2001,0
6157,0.0877,['Rivermaya'],0.4320000000000001,280947,0.563,0,4N0XG7hGoVnUKI2kuRGN1u,0.00035499999999999996,2,0.294,-8.807,1,Kisapmata,58,2001,0.0309,136.172,0.397,2001,0
6158,0.17800000000000002,['112'],0.3720000000000001,326533,0.375,0,4BdKKkvIMGWN6AtqjrW9Hj,0.0,1,0.0742,-9.453,0,Sweet Love,44,2001,0.0507,109.45,0.204,2001,0
6159,0.363,['Polo Urias Y Su Maquina Norteña'],0.688,137480,0.899,0,2BJgWwgobhsv5JlJkKJClF,9.09e-06,5,0.10300000000000001,-5.285,1,Aquél Montón De Cartas,40,2001-01-01,0.0383,119.46,0.965,2001,0
6160,0.105,['G. Dep'],0.75,389867,0.889,1,5pkODNs3tEe8DMqjorjR8c,3.71e-06,10,0.368,-5.3870000000000005,0,Special Delivery,43,2001,0.27399999999999997,100.244,0.69,2001,0
6161,0.327,['Grupo Bryndis'],0.4270000000000001,231373,0.569,0,3rt5Q6kxIveKmxLL1hIBHh,0.0162,2,0.11,-10.088,0,Un Brindis Por Ti,45,2001-01-01,0.0285,186.608,0.774,2001,0
6162,0.006809999999999999,['Groove Armada'],0.731,391000,0.4270000000000001,0,4OUvfa7eO5jvFMIMOU7MTb,0.0056700000000000006,5,0.161,-10.466,0,Suntoucher,52,2001-07-11,0.0589,82.208,0.507,2001,0
6163,0.0101,['The Cure'],0.46299999999999997,157053,0.853,0,2RKDbMwtJgKc76H9oPo7Cl,0.0,11,0.107,-6.24,0,Boys Don't Cry,41,2001-11-13,0.0707,169.574,0.69,2001,0
6164,0.00774,['South Park Mexican'],0.664,290733,0.5329999999999999,1,5lp8Q8OquwsDz0fHLkjpha,0.0,0,0.21,-5.9579999999999975,1,The System,41,2001-11-06,0.0774,79.975,0.376,2001,0
6165,0.0157,['John Mayer'],0.591,216360,0.617,0,2MCBSxOnkMcVkbaLplGYjX,4.35e-05,0,0.146,-7.495,1,Great Indoors,45,2001-08-16,0.0259,109.956,0.48,2001,0
6166,0.0838,['Das EFX'],0.866,221093,0.534,0,2rQDtzREtofoyhDNYk95jf,0.0,5,0.0848,-10.407,1,They Want EFX,43,2001-07-03,0.321,98.852,0.619,2001,0
6167,0.5379999999999999,['S Club 7'],0.585,201533,0.7020000000000001,0,4Xm0G6DRlWUjCgpKh5OPyv,0.0,0,0.21600000000000005,-5.734,1,Have You Ever,61,2001-11-26,0.0325,139.909,0.51,2001,0
